City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Hokitika,NZ,-42.7167,170.9667,48.65,78,100,3.89,light rain
237,Leh,IN,34.1667,77.5833,64.17,57,94,5.19,overcast clouds
238,Ridgeland,US,32.4285,-90.1323,87.37,74,37,5.06,scattered clouds
239,Yonago,JP,35.4333,133.3333,73.33,88,75,1.14,broken clouds
240,Sondershausen,DE,51.3667,10.8667,63.73,72,12,1.74,few clouds
241,Saint-Pierre,RE,-21.3393,55.4781,67.68,76,100,5.75,overcast clouds
242,Shimoda,JP,34.6667,138.95,80.33,71,100,6.13,overcast clouds
243,Bara,NG,10.3744,10.7288,72.73,90,90,8.43,overcast clouds
244,Ormara,PK,25.2088,64.6357,82.62,83,98,14.81,overcast clouds
245,Buala,SB,-8.145,159.5921,84.36,69,7,6.13,clear sky
246,Ahuimanu,US,21.4447,-157.8378,83.86,62,75,13.8,broken clouds
247,Atherton,GB,53.5237,-2.4935,66.34,89,100,4.0,overcast clouds
248,Santiago De Cao,PE,-7.9589,-79.2392,62.73,39,0,11.5,clear sky
249,Serebryansk,KZ,49.6925,83.2892,55.11,73,50,3.49,scattered clouds
250,Vadso,NO,70.0744,29.7487,52.68,82,75,10.36,broken clouds
251,Porto Novo,BJ,6.4965,2.6036,78.62,85,100,7.25,light rain
252,Whitehorse,CA,60.7161,-135.0538,64.09,39,75,4.61,broken clouds
253,Klaksvik,FO,62.2266,-6.589,50.92,91,98,19.22,overcast clouds
254,Provideniya,RU,64.3833,-173.3,46.27,77,96,6.8,overcast clouds
255,Tuatapere,NZ,-46.1333,167.6833,45.19,83,53,2.53,broken clouds
256,Condega,NI,13.365,-86.3985,73.11,88,97,4.92,overcast clouds
257,Pionerskiy,RU,54.9508,20.2275,63.09,76,37,16.93,scattered clouds
258,Basna,IN,21.2833,82.8167,75.42,93,100,6.31,moderate rain
259,Oak Harbor,US,48.2932,-122.6432,75.11,78,12,6.73,few clouds
260,Takoradi,GH,4.8845,-1.7554,74.5,84,60,7.2,broken clouds
