City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Vanimo,PG,80.22,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
217,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
218,Bar Harbor,US,80.94,scattered clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
220,Kanlagay,PH,81.77,broken clouds,5.8757,121.2915,
223,Pemberton,CA,87.49,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
226,Lorengau,PG,83.53,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
230,San Rafael Del Sur,NI,86.97,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
235,Atuona,PF,77.59,scattered clouds,-9.8,-139.0333,Villa Enata
238,Ridgeland,US,87.37,scattered clouds,32.4285,-90.1323,Embassy Suites by Hilton Jackson North Ridgeland
242,Shimoda,JP,80.33,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
244,Ormara,PK,82.62,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
245,Buala,SB,84.36,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
246,Ahuimanu,US,83.86,broken clouds,21.4447,-157.8378,Paradise Bay Resort
251,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
258,Basna,IN,75.42,moderate rain,21.2833,82.8167,Hotel Grand Alfa [BASNA]
259,Oak Harbor,US,75.11,few clouds,48.2932,-122.6432,The Coachman Inn
262,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
263,High Rock,BS,84.06,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
264,Guia De Isora,ES,80.33,scattered clouds,28.2115,-16.7795,La Vista Pension
265,Cururupu,BR,76.06,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
270,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
271,Matay,EG,81.14,clear sky,28.419,30.7792,Nag Aespen
273,Ranong,TH,77.0,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
278,Torbay,CA,79.57,few clouds,47.6666,-52.7314,Gallows Cove
279,Kenda,IN,76.6,heavy intensity rain,23.2,86.5333,Dilip kumar mudi
281,Manokwari,ID,79.66,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
283,Isangel,VU,80.15,clear sky,-19.55,169.2667,Tanna Lodge
286,Duluth,US,77.54,broken clouds,46.7833,-92.1066,South Pier Inn
290,Hamamatsu,JP,80.22,overcast clouds,34.7,137.7333,Hotel Crown Palais Hamamatsu
294,Dingle,PH,79.52,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
300,Kodinar,IN,80.35,overcast clouds,20.7903,70.7031,residency of N.B vadhel
303,Tagusao,PH,80.11,few clouds,9.1924,117.8141,Caycay future beach resort
304,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
308,Guye,CN,75.27,clear sky,39.7333,118.4167,Peace Hotel
309,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
